                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9941,                 4.0477,                 2.5209,                      0,                      0,                      0,                      0,                 1.7555,                  3.924,                 2.5003,                      0,                      0,                      0
                      2,                 2.1162,                 4.2561,                 2.6105,                0.00179,                0.66667,                0.00195,                0.00083,                 1.7648,                  3.927,                 2.5092,             1.6615e-05,             1.6615e-05,             1.6615e-05
                      3,                 2.1783,                 4.1698,                 2.5863,                0.00193,                0.66667,                0.00192,                0.00115,                 1.7764,                 3.9246,                 2.5216,              3.312e-05,              3.312e-05,              3.312e-05
                      4,                 2.3395,                 4.1591,                 2.7685,                0.00061,                    0.5,                0.00128,                0.00038,                 1.7909,                 3.9211,                  2.536,             4.9515e-05,             4.9515e-05,             4.9515e-05
                      5,                 2.1091,                 4.4538,                 2.5307,                0.00061,                    0.5,                0.00123,                0.00037,                 1.7978,                 3.9218,                 2.5483,               6.58e-05,               6.58e-05,               6.58e-05
                      6,                 1.9153,                  4.265,                 2.4215,                0.00061,                    0.5,                0.00123,                0.00037,                  1.803,                  3.919,                 2.5608,             8.1975e-05,             8.1975e-05,             8.1975e-05
                      7,                 2.2834,                 4.1338,                 2.6339,                0.00061,                    0.5,                0.00113,                0.00034,                 1.8023,                 3.9152,                 2.5637,              9.804e-05,              9.804e-05,              9.804e-05
                      8,                 2.3086,                 4.3334,                 2.8013,                0.00193,                0.66667,                0.02261,                0.00737,                 1.0664,                 3.6084,                 1.5903,             0.00011399,             0.00011399,             0.00011399
                      9,                 1.5924,                 3.8974,                 1.9678,                0.00467,                      1,                0.20729,                0.09595,                 1.1159,                 3.4714,                 1.4991,             0.00012984,             0.00012984,             0.00012984
                     10,                 1.5055,                 3.7233,                 1.6653,                0.00353,                      1,                 0.2561,                0.07541,                 1.2449,                  3.407,                 1.5217,             0.00014557,             0.00014557,             0.00014557
                     11,                 1.3562,                 3.4255,                 1.5796,                0.00343,                      1,                0.66333,                0.28927,                 1.2819,                  3.254,                 1.4836,              0.0001612,              0.0001612,              0.0001612
                     12,                 1.3413,                 3.1159,                 1.4264,                0.00354,                      1,                0.46475,                0.17468,                 1.3349,                 3.3188,                 1.6639,             0.00017671,             0.00017671,             0.00017671
                     13,                 1.5143,                 2.7311,                 1.5293,                0.00429,                      1,                0.34122,                 0.1429,                  1.641,                 3.2333,                   1.94,             0.00019212,             0.00019212,             0.00019212
                     14,                 1.2352,                 2.1283,                 1.2926,                0.00463,                      1,                0.50323,                0.18948,                 2.0244,                 3.5328,                 2.4326,             0.00020741,             0.00020741,             0.00020741
                     15,                 1.6433,                  2.336,                 1.7624,                0.00433,                      1,                0.34663,                0.16888,                 1.3662,                 3.2334,                 1.5167,              0.0002226,              0.0002226,              0.0002226
                     16,                 1.3861,                 2.1542,                 1.6373,                0.00443,                      1,                0.49833,                0.22927,                 1.2893,                  3.362,                 1.6139,             0.00023767,             0.00023767,             0.00023767
                     17,                 1.5586,                 2.2769,                 1.6899,                0.00405,                      1,                0.50044,                0.30576,                 1.3602,                 3.4528,                  1.977,             0.00025264,             0.00025264,             0.00025264
                     18,                 1.5395,                 2.4957,                 1.6122,                0.00405,                      1,                0.50044,                0.30576,                 1.3602,                 3.4528,                  1.977,             0.00026749,             0.00026749,             0.00026749
                     19,                 1.4732,                 1.8249,                 1.5087,                0.00331,                    0.5,                 0.3655,                0.11012,                 2.0908,                 3.6557,                 2.3654,             0.00028224,             0.00028224,             0.00028224
                     20,                 1.3346,                 1.8838,                 1.4816,                0.00331,                    0.5,                 0.3655,                0.11012,                 2.0908,                 3.6557,                 2.3654,             0.00029687,             0.00029687,             0.00029687
                     21,                 1.3222,                 1.9861,                 1.4677,                0.00284,                    0.5,                0.01388,                0.00976,                 1.2783,                 3.5859,                 1.7176,              0.0003114,              0.0003114,              0.0003114
                     22,                 1.1725,                 1.9895,                 1.4281,                0.00284,                    0.5,                0.01388,                0.00976,                 1.2783,                 3.5859,                 1.7176,             0.00032581,             0.00032581,             0.00032581
                     23,                 1.2491,                 2.1415,                 1.5629,                0.00453,                      1,                 0.0091,                0.00449,                  1.346,                  3.544,                 1.7977,             0.00034011,             0.00034011,             0.00034011
                     24,                 1.1933,                 1.8655,                 1.2928,                0.00453,                      1,                 0.0091,                0.00449,                  1.346,                  3.544,                 1.7977,             0.00035431,             0.00035431,             0.00035431
                     25,                 1.1752,                 1.6951,                 1.3897,                0.00601,                      1,                0.00952,                0.00404,                 1.7726,                 3.5267,                 2.1441,             0.00036839,             0.00036839,             0.00036839
                     26,                  1.122,                 1.5786,                 1.2776,                0.00601,                      1,                0.00952,                0.00404,                 1.7726,                 3.5267,                 2.1441,             0.00038237,             0.00038237,             0.00038237
                     27,                 1.3053,                 2.0162,                 1.7043,                0.00658,                0.33333,                0.00656,                0.00408,                 1.8208,                 3.3629,                 2.1524,             0.00039623,             0.00039623,             0.00039623
                     28,                 1.2239,                 1.6169,                 1.3349,                0.00658,                0.33333,                0.00656,                0.00408,                 1.8208,                 3.3629,                 2.1524,             0.00040999,             0.00040999,             0.00040999
                     29,                  1.112,                   1.95,                 1.3828,                0.00481,                0.83333,                0.00894,                0.00485,                 1.7546,                 3.3296,                 2.3203,             0.00042363,             0.00042363,             0.00042363
                     30,                 1.1385,                 1.7661,                 1.3405,                0.00481,                0.83333,                0.00894,                0.00485,                 1.7546,                 3.3296,                 2.3203,             0.00043717,             0.00043717,             0.00043717
                     31,                0.99449,                 1.5609,                 1.1985,                0.00095,                0.16667,                0.00064,                0.00019,                 3.0607,                 3.5403,                 4.8155,             0.00045059,             0.00045059,             0.00045059
                     32,                 1.0514,                 1.7498,                 1.2184,                0.00095,                0.16667,                0.00064,                0.00019,                 3.0607,                 3.5403,                 4.8155,              0.0004639,              0.0004639,              0.0004639
                     33,                 1.1339,                  2.021,                 1.3296,                0.00095,                0.16667,                0.00064,                0.00019,                 2.6091,                 3.7765,                 3.3538,             0.00047711,             0.00047711,             0.00047711
                     34,                 1.0785,                  1.556,                 1.2692,                0.00095,                0.16667,                0.00064,                0.00019,                 2.6091,                 3.7765,                 3.3538,              0.0004902,              0.0004902,              0.0004902
                     35,                0.92249,                 1.9345,                  1.363,                0.00083,                0.16667,                0.00061,                  6e-05,                 2.7798,                 3.6859,                 4.0341,             0.00050319,             0.00050319,             0.00050319
                     36,                 1.2849,                 1.7448,                 1.5149,                0.00083,                0.16667,                0.00061,                  6e-05,                 2.7798,                 3.6859,                 4.0341,             0.00051606,             0.00051606,             0.00051606
                     37,                 1.2113,                 1.6456,                 1.6449,                0.00047,                    0.5,                0.00188,                0.00035,                 4.4554,                 17.757,                 63.816,             0.00052883,             0.00052883,             0.00052883
                     38,                  1.374,                 1.9655,                 1.6146,                0.00047,                    0.5,                0.00188,                0.00035,                 4.4554,                 17.757,                 63.816,             0.00054148,             0.00054148,             0.00054148
                     39,                 1.0279,                 2.1623,                 1.3448,                 0.0007,                    0.5,                0.00239,                0.00047,                 5.0667,                 3296.6,                 1124.3,             0.00055402,             0.00055402,             0.00055402
                     40,                  1.579,                 2.1577,                 1.6196,                 0.0007,                    0.5,                0.00239,                0.00047,                 5.0667,                 3296.6,                 1124.3,             0.00056646,             0.00056646,             0.00056646
                     41,                 1.4443,                 1.9182,                 1.5483,                 0.0007,                    0.5,                0.00239,                0.00047,                    nan,                    nan,                    nan,             0.00057878,             0.00057878,             0.00057878
                     42,                 1.0427,                 1.7522,                 1.2868,                 0.0007,                    0.5,                0.00239,                0.00047,                    nan,                    nan,                    nan,               0.000591,               0.000591,               0.000591
                     43,                 1.0971,                 2.1423,                 1.4824,                 0.0007,                    0.5,                0.00239,                0.00047,                    nan,                    nan,                    nan,              0.0006031,              0.0006031,              0.0006031
                     44,                 1.0956,                 1.6562,                 1.5232,                 0.0007,                    0.5,                0.00239,                0.00047,                    nan,                    nan,                    nan,             0.00061509,             0.00061509,             0.00061509
                     45,                 1.0296,                 1.7161,                 1.3159,                 0.0007,                    0.5,                0.00239,                0.00047,                    nan,                    nan,                    nan,             0.00062698,             0.00062698,             0.00062698
                     46,                 0.8793,                 1.5623,                 1.2737,                 0.0007,                    0.5,                0.00239,                0.00047,                    nan,                    nan,                    nan,             0.00063875,             0.00063875,             0.00063875
                     47,                 1.1151,                 1.4625,                  1.335,                 0.0007,                    0.5,                0.00239,                0.00047,                    nan,                    nan,                    nan,             0.00065042,             0.00065042,             0.00065042
                     48,                 1.1116,                 1.5549,                 1.3492,                 0.0007,                    0.5,                0.00239,                0.00047,                    nan,                    nan,                    nan,             0.00066197,             0.00066197,             0.00066197
                     49,                 1.0532,                  1.569,                 1.4123,                 0.0007,                    0.5,                0.00239,                0.00047,                 5.2148,                    inf,                 1348.4,             0.00067341,             0.00067341,             0.00067341
                     50,                 1.1146,                  1.491,                 1.4907,                 0.0007,                    0.5,                0.00239,                0.00047,                 5.2148,                    inf,                 1348.4,             0.00068475,             0.00068475,             0.00068475
                     51,                0.95468,                 1.4732,                 1.2913,                 0.0007,                    0.5,                0.00239,                0.00047,                   4.87,                    inf,                 665.81,             0.00069597,             0.00069597,             0.00069597
                     52,                 0.8929,                 1.3147,                  1.235,                 0.0007,                    0.5,                0.00239,                0.00047,                   4.87,                    inf,                 665.81,             0.00070709,             0.00070709,             0.00070709
                     53,                0.98521,                 1.2895,                 1.2323,                 0.0007,                    0.5,                0.00239,                0.00047,                   4.87,                    inf,                 665.81,             0.00071809,             0.00071809,             0.00071809
                     54,                 1.1158,                 1.5443,                 1.4473,                 0.0007,                    0.5,                0.00239,                0.00047,                 5.3979,                 212.37,                 92.157,             0.00072898,             0.00072898,             0.00072898
                     55,                 1.0523,                 1.3627,                 1.2233,                 0.0007,                    0.5,                0.00239,                0.00047,                 5.3979,                 212.37,                 92.157,             0.00073977,             0.00073977,             0.00073977
                     56,                  0.989,                 1.5431,                 1.2304,                 0.0007,                    0.5,                0.00239,                0.00047,                 5.3979,                 212.37,                 92.157,             0.00075044,             0.00075044,             0.00075044
                     57,                 0.8894,                 1.1872,                 1.1369,                 0.0007,                    0.5,                0.00239,                0.00047,                 4.3943,                 48.336,                 78.265,             0.00076101,             0.00076101,             0.00076101
